pop,Elev_class,Elev_m,Latitude,Longitude,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
BH,low,511,37.40985,-119.96458,historic,1965,68.60499842961629,0,52.29416710541894,7.134999930858612,22.259999990463257,14.697499960660934,15.125000059604645,6.219818245926189,32.59999895095825,627.5300052650273,128.5925874775514,8.809999942779541,20.603333314259846,8.869999885559082,88.08000183105469,Water Year
BH,low,511,37.40985,-119.96458,historic,1966,77.46833276748657,0,35.03916696459055,7.399166719677547,23.579166968663532,15.48916684417054,16.180000248985987,7.048490602399367,36.17000076174736,420.4700035750866,172.1246150209384,11.529999732971191,21.532500386238098,0,94.54000091552734,Water Year
BH,low,511,37.40985,-119.96458,historic,1967,67.33499972025554,0,65.30333272616069,7.6949999034404755,22.855833609898884,15.27541675666968,15.16083370645841,7.649933451371845,36.060001730918884,783.6399927139282,109.14671093284437,8.004999995231628,26.985000610351563,0,149.33999633789063,Water Year
BH,low,511,37.40985,-119.96458,historic,1968,79.72499910990398,0,33.92083342870077,7.494166714449724,23.6875003973643,15.590833555907011,16.193333682914574,6.76899291328219,37.20000183582306,407.0500011444092,86.44562861451439,5.1700000166893005,23.445000410079956,0,73.470001220703125,Water Year
BH,low,511,37.40985,-119.96458,historic,1969,69.78166643778484,0,82.38666457589716,7.397499918937683,22.285833438237507,14.841666678587595,14.888333519299826,7.33918617532048,35.43000030517578,988.6399749107659,120.87979955357312,6.749999880790711,25.5,0.01999999955296516,136.6999969482422,Water Year
BH,low,511,37.40985,-119.96458,historic,1970,73.83000071843465,0,42.23749967416128,7.513333211342494,24.044999758402508,15.7791664848725,16.531666547060013,6.764580883365773,34.759998202323914,506.8499960899353,128.6999877114127,8.724999785423279,22.893749594688416,0,77.86000061035156,Water Year
BH,low,511,37.40985,-119.96458,historic,1971,72.6241668065389,0,37.484166423479714,6.9074998795986176,22.485833247502644,14.69666656355063,15.578333367904028,7.041806992043456,34.76000028848648,449.8099970817566,127.97790160065529,11.934999704360962,23.884999752044678,0,35.18000030517578,Water Year
BH,low,511,37.40985,-119.96458,historic,1972,85.1850004196167,0,27.419166478017967,7.48999996483326,23.100833733876545,15.295416849354902,15.610833769043287,7.475701623475423,37.210001707077026,329.0299977362156,141.92130301408932,5.0400000512599945,25.567500829696655,0,26.11000061035156,Water Year
BH,low,511,37.40985,-119.96458,historic,1973,75.2774993578593,0,61.512499030058585,7.65916666885217,22.340000073115032,14.9995833709836,14.680833404262861,7.621915643428462,35.550001204013824,738.149988360703,109.67278393279916,9.375000238418579,25.200000762939453,0,78.48999786376953,Water Year
BH,low,511,37.40985,-119.96458,historic,1974,69.4516674677531,0,52.22416633600369,7.9566666434208555,23.255000193913776,15.605833418667316,15.298333550492924,7.178562221488565,33.7600012421608,626.6899960320443,95.79702104824685,10.495000123977661,22.13000027338664,16.959999084472656,91.58000183105467,Water Year
BH,low,511,37.40985,-119.96458,historic,1975,68.12583303451538,0,53.12249946827069,6.728333238512278,21.934999863306682,14.33166655090948,15.206666624794403,7.210585545232195,33.50999893248081,637.4699936192483,106.0283790736493,7.730000019073485,24.00999927520752,0.02999999932944774,86.1500015258789,Water Year
BH,low,511,37.40985,-119.96458,historic,1976,82.94750038782756,0,25.51583331823349,6.715833283960818,22.580833355585735,14.648333319773275,15.865000071624914,6.680127311992795,35.30999970436096,306.1899998188019,98.4035519158687,8.529999792575836,21.18499994277954,0.7900000214576721,7.710000038146973,Water Year
BH,low,511,37.40985,-119.96458,historic,1977,87.65750042597453,0,18.645832983156044,7.498333451648553,23.33833320935567,15.418333330502113,15.839999757707119,7.088885522365532,35.43000108003616,223.74999579787254,91.94472259408639,5.440000191330911,25.137500524520874,0,48.04999923706055,Water Year
BH,low,511,37.40985,-119.96458,historic,1978,70.13333320617676,0,85.28416635592778,8.712500015894571,23.140000104904175,15.926250060399374,14.427500089009603,5.900237044026472,30.260000228881836,1023.4099962711334,105.61778460546805,9.410000085830688,21.551250219345093,0,138.22000122070313,Water Year
BH,low,511,37.40985,-119.96458,historic,1979,72.92083247502644,0,52.90833250681559,7.634166747331619,22.682500044504803,15.158333395918211,15.048333297173182,7.40717825345921,34.88999819755554,634.8999900817871,111.38107801261796,6.515000164508819,23.2400000890096,3.2100000381469727,51.459999084472656,Water Year
BH,low,511,37.40985,-119.96458,historic,1980,71.16833384831746,0,56.69333263238271,7.883333265781403,23.035833438237507,15.459583352009457,15.152500172456106,6.024389899835746,31.989999532699585,680.3199915885925,130.53004936453996,9.065000057220459,21.605000257492065,2.0199999809265137,236.08999633789065,Water Year
BH,low,511,37.40985,-119.96458,historic,1981,79.3100004196167,0,35.76916654904684,8.52999989191691,24.173333247502644,16.351666569709778,15.643333355585733,6.585057938040588,32.940001010894775,429.229998588562,119.45056128653175,9.869999885559082,24.583749890327454,0,28.729999542236328,Water Year
BH,low,511,37.40985,-119.96458,historic,1982,65.56333192189534,0.5849999984105428,82.0866680641969,8.154166631400585,22.00000023841858,15.077083434909582,13.845833607017994,6.371743846174973,33.05999907851219,985.0400167703629,86.57657063962829,5.634999945759773,18.119999885559082,3.3499999046325684,202.8800048828125,Water Year
BH,low,511,37.40985,-119.96458,historic,1983,65.03250010808308,0,92.41083453098932,8.118333220481873,21.574999888737995,14.846666554609934,13.456666668256124,6.7507351727765075,31.240000009536743,1108.930014371872,98.55575037947831,9.930000066757202,21.59249997138977,2.4700000286102295,149.3000030517578,Water Year
BH,low,511,37.40985,-119.96458,historic,1984,74.92333332697551,0,46.49916581064463,8.321666647990545,23.236666599909466,15.779166623950005,14.91499995191892,7.149091307344295,34.25999891757965,557.9899897277355,138.1302332599819,10.355000257492065,25.554999351501465,1.4700000286102295,6.260000228881836,Water Year
BH,low,511,37.40985,-119.96458,historic,1985,75.56666739781699,0,36.70583300944418,7.637500027815501,22.242499987284344,14.940000007549921,14.604999959468842,7.15745516613979,34.50999999046326,440.4699961133301,117.30255195372222,9.825000047683716,26.475000381469727,0,22.489999771118164,Water Year
BH,low,511,37.40985,-119.96458,historic,1986,73.53249963124593,0,61.470832665761314,8.244999865690867,22.71916651725769,15.48208319147428,14.474166651566824,6.063549427132379,33.3199987411499,737.6499919891357,140.54800137949925,10.09500002861023,23.718332767486572,0,58.04999923706055,Water Year
BH,low,511,37.40985,-119.96458,historic,1987,82.15333207448323,0,30.53833293542266,8.194166739781698,23.572500069936115,15.883333404858908,15.378333330154419,6.498320958004302,33.08000183105469,366.4599952250719,125.85342586250619,8.989999890327454,23.427500247955322,0,58.40999984741211,Water Year
BH,low,511,37.40985,-119.96458,historic,1988,78.00083462397258,0,29.920833498239517,7.985833366711934,23.584166765213013,15.785000065962473,15.598333398501078,6.813431438520141,35.180001854896545,359.0500019788742,113.71645449254609,13.604999780654907,23.08750033378601,0,80.26000213623047,Water Year
BH,low,511,37.40985,-119.96458,historic,1989,75.04666741689046,0,45.82916620373726,7.506666645407677,22.733333667119343,15.12000015626351,15.226667021711666,6.755517786322142,35.850000619888306,549.9499944448471,93.17535131843331,11.299999952316284,25.235000133514404,0,27.739999771118164,Water Year
BH,low,511,37.40985,-119.96458,historic,1990,75.26916583379109,0,28.093333788836997,7.825833464662234,23.451666593551636,15.638750029106935,15.625833128889402,6.859106162438915,34.559999108314514,337.12000546604395,110.71381088674711,7.284999847412109,23.945000012715656,0,75.660003662109375,Water Year
BH,low,511,37.40985,-119.96458,historic,1991,76.08083375295004,0,44.58250099498158,7.5491667588551845,22.96333344777425,15.256250103314718,15.414166688919067,7.155723153488737,36.77000164985657,534.9900119397789,196.6166813444349,7.899999976158142,26.130001068115234,0,28.81999969482422,Water Year
BH,low,511,37.40985,-119.96458,historic,1992,76.12416553497314,0,38.64416607841849,9.319166799386343,23.858333349227905,16.588750074307125,14.539166549841562,6.765415447420369,34.18999981880188,463.7299929410219,127.1916067650317,10.65000057220459,24.444999933242798,0,42.65999984741211,Water Year
BH,low,511,37.40985,-119.96458,historic,1993,70.97416750590007,0,63.845833937327065,8.080000152190525,22.708333333333332,15.39416674276193,14.628333181142807,6.4952013103572686,32.47000074386597,766.1500072479248,139.80326307227193,6.980000197887421,23.418333371480305,0,161.94000244140625,Water Year
BH,low,511,37.40985,-119.96458,historic,1994,81.51000038782756,0,33.47250050803026,8.285833328962326,23.65416653951009,15.969999934236208,15.368333210547766,6.889157091125987,34.11000096797943,401.67000609636307,90.6387466926564,7.909999847412109,26.22249984741211,0,59.20000076293945,Water Year
BH,low,511,37.40985,-119.96458,recent,1995,62.86333346366882,0,71.0649994299747,8.307500084241232,22.204166968663532,15.255833526452383,13.896666884422302,6.731722817056848,33.18000078201294,852.7799931596965,132.1287628327601,9.035000085830688,18.55999994277954,0.20999999344348907,59.33000183105469,Water Year
BH,low,511,37.40985,-119.96458,recent,1996,71.56666588783264,0,49.5858342749998,9.159999986489614,24.25249989827474,16.706249942382176,15.092499911785126,6.460355004886215,33.01999855041504,595.0300112999976,104.18307636969735,10.519999742507935,21.62000036239624,0.10999999940395357,78.91999816894531,Water Year
BH,low,511,37.40985,-119.96458,recent,1997,80.07250006993611,0,71.57166501631339,9.097500026226044,23.747499863306682,16.42249994476636,14.649999837080639,6.375658776262758,30.189998149871826,858.8599801957607,178.8483858444836,8.924999952316284,25.0049991607666,0,323.2699890136719,Water Year
BH,low,511,37.40985,-119.96458,recent,1998,60.85249972343445,0,79.80583240340154,8.354166795810064,21.650832970937092,15.002499883373579,13.29666617512703,6.788708033845775,34.07999908924103,957.6699888408184,111.13864667976239,7.799999952316284,26.34999942779541,0,57.91999816894531,Water Year
BH,low,511,37.40985,-119.96458,recent,1999,73.08416652679443,0,37.377500186363854,7.449166640639305,22.63333336512248,15.041250002880892,15.184166724483172,7.017823844936421,34.37000089883804,448.5300022363663,116.8544530619181,7.855000019073486,23.741666952768963,0,54.810001373291016,Water Year
BH,low,511,37.40985,-119.96458,recent,2000,70.2308333714803,0,62.44166810391471,8.56833329796791,23.799999793370564,16.18416654566924,15.231666495402655,6.273825892688486,33.69000065326691,749.3000172469765,131.7838314983309,9.710000038146973,23.709999561309814,0.00999999977648258,1.830000042915344,Water Year
BH,low,511,37.40985,-119.96458,recent,2001,76.07999960581462,0,32.577500422795616,8.538333505392075,24.124166409174602,16.331249957283337,15.585832903782526,7.548467894798237,34.56999969482422,390.93000507354736,126.09838122421716,7.230000019073486,24.78249979019165,0,113.97000122070313,Water Year
BH,low,511,37.40985,-119.96458,recent,2002,75.86250003178914,0,38.78583293904861,8.518333266178766,23.663333574930828,16.090833420554798,15.14500030875206,6.997539178914677,34.80000078678131,465.4299952685833,125.89713508350845,7.480000138282776,24.984999179840088,0.3400000035762787,48.34000015258789,Water Year
BH,low,511,37.40985,-119.96458,recent,2003,69.38499959309895,0,42.38833327653507,8.960000038146973,24.423333247502644,16.69166664282481,15.463333209355671,7.201546245986122,34.93000078201294,508.6599993184209,106.57648819295048,8.430000066757202,24.914999961853027,0.4900000095367432,140.75,Water Year
BH,low,511,37.40985,-119.96458,recent,2004,81.45499992370605,0,44.44166701038679,8.54583336909612,23.817500352859497,16.18166686097781,15.271666983763376,6.879582037060946,33.419999837875366,533.3000041246414,128.8112584405175,15.90500020980835,25.697500228881836,0,52.58000183105469,Water Year
BH,low,511,37.40985,-119.96458,recent,2005,68.40666611989339,0,62.29583477973938,8.233333369096119,23.077499787012737,15.655416578054428,14.844166417916616,6.915539929056507,35.34000062942505,747.5500173568726,115.91880283883107,7.860000014305115,27.735000610351563,0,229.7400054931641,Water Year
BH,low,511,37.40985,-119.96458,recent,2006,69.94499905904135,0,60.09083301325639,8.747499813636145,23.577500025431316,16.16249991953373,14.830000211795172,7.146765831063111,35.32999813556671,721.0899961590767,118.9369557057268,11.785000324249268,26.244998931884766,0,150.69000244140625,Water Year
BH,low,511,37.40985,-119.96458,recent,2007,82.81416622797649,0,29.158333470424015,8.295000026623407,23.49833345413208,15.896666740377745,15.203333427508673,6.869987194662797,35.730000257492065,349.9000016450882,124.26118146215846,8.90999972820282,24.262499809265137,0,24.75,Water Year
BH,low,511,37.40985,-119.96458,recent,2008,80.07666619618735,0,37.13666636993487,8.561666563153267,23.640000422795612,16.10083349297444,15.078333859642346,7.460012258749643,34.4100016951561,445.63999643921846,166.45993784918926,6.745000183582306,24.81250035762787,0,103.48999786376952,Water Year
BH,low,511,37.40985,-119.96458,recent,2009,74.39333407084148,0,45.847499831579626,8.82833327849706,23.265833218892414,16.047083248694737,14.437499940395355,7.11792523350278,34.54999828338623,550.1699979789555,90.28552275989128,8.649999856948853,26.79499912261963,0,78.62999725341797,Water Year
BH,low,511,37.40985,-119.96458,recent,2010,69.19999853769939,0,54.4916672706604,8.130833327770233,22.205833196640015,15.168333262205124,14.074999868869781,6.7551907510961335,33.180001735687256,653.9000072479248,101.02821597930176,9.075000286102295,23.456249952316284,0,119.87000274658205,Water Year
BH,low,511,37.40985,-119.96458,recent,2011,66.08250029881795,0,73.52000024914742,8.203333238760631,22.110833406448364,15.157083322604498,13.907500167687733,6.921962149233717,33.0199990272522,882.240002989769,110.50288017043752,9.014999866485596,24.435000896453857,0.3799999952316284,114.58999633789063,Water Year
BH,low,511,37.40985,-119.96458,recent,2012,82.63166618347168,0,26.4649999239482,8.48000005632639,23.761666695276897,16.12083337580164,15.281666638950506,7.272942246008805,36.599998623132706,317.5799990873784,126.01756309706725,13.110000133514404,22.854999542236328,0,0.00999999977648258,Water Year
BH,low,511,37.40985,-119.96458,recent,2013,79.99166758855183,0,32.986667169258,8.746666652460894,23.702500184377033,16.224583418418963,14.955833531916142,7.093038002555937,36.039999693632126,395.840006031096,177.126291715162,7.605000138282776,27.47499942779541,0.10000000149011612,24.479999542236328,Water Year
BH,low,511,37.40985,-119.96458,recent,2014,93.24833218256632,0,20.07750002791484,9.48166673630476,25.201666593551636,17.341666664928198,15.719999857246876,6.5289136202645315,35.089998334646225,240.9300003349781,100.08038304594226,10.55500054359436,26.492499828338623,0,15.859999656677246,Water Year
BH,low,511,37.40985,-119.96458,recent,2015,92.6200008392334,0,22.920000345756613,10.089166541894278,24.7516671816508,17.420416861772537,14.66250063975652,6.187198931997046,31.010000944137573,275.0400041490793,128.36583159295307,9.84000015258789,25.6850004196167,0.07999999821186066,5.710000038146973,Water Year
BH,low,511,37.40985,-119.96458,recent,2016,72.59833431243896,0,63.09916625916958,9.040000031391779,23.59333324432373,16.316666637857754,14.553333212931951,7.0160768155380175,34.4799998998642,757.1899951100349,105.61008481019147,8.360000014305115,26.12000036239624,0,155.13999938964844,Water Year
BH,low,511,37.40985,-119.96458,recent,2017,72.79833157857259,0,80.54666627850384,9.59333328406016,23.5624996026357,16.57791644334793,13.96916631857554,7.298362800931189,34.57999920845032,966.559995342046,143.43153583672628,7.0750001668930045,27.559999465942383,0.05000000074505806,363.94000244140625,Water Year
BH,low,511,37.40985,-119.96458,recent,2018,75.17833185195923,0,40.66000099976858,9.309166659911474,24.179166555404663,16.74416660765807,14.86999989549319,6.799718051651643,34.55999958515167,487.9200119972229,185.61018192640847,9.875000238418579,24.927499771118164,0,14.84000015258789,Water Year
BH,low,511,37.40985,-119.96458,recent,2019,69.31333494186401,0,64.93083320061366,9.088333348433176,23.011666695276894,16.050000021855038,13.92333334684372,6.928955882742755,33.06000089645386,779.1699984073639,117.21968853505994,6.439999818801879,22.771666685740154,0,233.1499938964844,Water Year
BH,low,511,37.40985,-119.96458,recent,2020,78.08749874432881,0,33.116666658471026,9.888333261013031,24.394166707992554,17.141249984502792,14.505833446979523,7.095866189797575,33.1899995803833,397.39999990165234,138.51793503547688,9.009999990463257,23.708333333333332,0.27000001072883606,22.530000686645508,Water Year
BH,low,511,37.40985,-119.96458,recent,2021,87.57333183288574,0,33.42166696550945,9.964999854564667,24.450000524520874,17.20750018954277,14.485000669956207,7.839318401629088,34.630001068115234,401.06000358611345,134.58118661679322,8.669999957084656,24.22000014781952,0.07000000029802322,152.47000122070313,Water Year
BH,low,511,37.40985,-119.96458,recent,2022,83.01666609446208,0,27.067499978467822,11.039999862511952,24.871666669845585,17.955833266178768,13.831666807333633,7.378159429942897,32.8199987411499,324.80999974161386,197.0644619861059,8.270000100135803,23.960000514984138,3.259999990463257,196.22000122070313,Water Year
BH,low,511,37.40985,-119.96458,recent,2023,74.72000042597455,0,86.04083386374022,9.736666709184655,21.991666793823242,15.864166751503948,12.255000084638585,7.819954241544826,35.14000046253207,1032.4900063648824,134.43895716429105,7.7100000381469656,28.5200004577637,0.0399999991059303,116.360000610352,Water Year
BH,low,511,37.40985,-119.96458,recent,2024,74.01000118255612,0,43.43916727105772,11.259166797002162,23.80249977111815,17.530833284060154,12.543332974115987,7.19442132560001,32.85999917984004,521.2700072526927,120.76491133276396,9.889999866485574,25.715000152587898,0.490000009536743,108.76000213623,Water Year
