Pop,Elev_m,Elev_class,distance_km,elev_diff
TM2,379,low,160.5454821495782,1865
SC,422,low,59.594350894158374,1822
IH,454,low,83.67491014135948,1790
BH,511,low,140.11274377667038,1733
DPR,1019,mid,86.56203710756972,1225
WL1,1614,mid,15.63707643356808,630
WL2,2020,high,21.155563330778897,224
WL3,2138,high,21.463103503735557,106
YOSE1,2141,high,119.58718236692938,103
SQ3,2373,high,243.72838981754083,129
LV2,2500,high,233.31019234999312,256
CP2,2244,high,0,0
